5220	aplikační	391
5150	aplikovaný	461
4166	aplikovat	1456
1313	apod	8587
5269	apokalypsa	342
5334	apokalyptický	277
5505	Apolinář	106
5502	apolitický	109
5508	Apollinaire	103
5400	Apollo	211
4760	apoštol	851
5362	apoštolský	249
5250	Apple	361
5449	applet	162
5424	April	187
5429	apriorní	182
5503	aqua	108
5433	ar	178
5433	Ara	178
5409	arab	202
4318	Arab	1297
4750	Arábie	861
2533	arabský	3803
5431	arabština	180
4414	Arafat	1199
5425	Arafát	186
5498	Arafatův	113
5489	Aral	122
5498	aranžér	113
5122	aranžmá	489
5436	aranžování	175
5409	aranžovat	202
5412	arbitr	199
5440	arbitráž	171
5351	arbitrážní	260
5510	Arc	101
5465	arci	146
4645	arcibiskup	966
5415	arcibiskupský	196
5406	arcibiskupství	205
5451	arcivévoda	160
5436	ARD	175
5450	are	161
1750	areál	6244
4768	aréna	843
5484	Arendtová	127
5440	Arga	171
5439	argentina	172
4399	Argentina	1214
5275	argentinec	336
4794	argentinský	817
5275	Argo	336
2061	argument	5100
4666	argumentace	945
4010	argumentovat	1621
4573	arch	1038
4735	archa	876
5291	archaický	320
5488	archanděl	123
4620	archeolog	991
4414	archeologický	1199
5281	archeologie	330
5431	archetyp	180
5332	Archie	279
2204	architekt	4663
5472	architektka	139
5462	architektonicky	149
3718	architektonický	1952
2261	architektura	4521
3169	archiv	2673
4189	archív	1433
5460	archiválie	151
5441	archivář	170
5092	archivní	519
5462	archívní	149
5505	archivovat	106
5151	árie	460
4971	Ariel	640
5460	árijský	151
5421	aristokracie	190
5413	aristokrat	198
5348	aristokratický	263
5228	Aristoteles	383
5492	Aristotelův	119
5286	Aritma	325
5443	aritmetický	168
5399	Arizona	212
5483	arkáda	128
5473	Arkansas	138
5431	arktický	180
5503	arktida	108
5502	Arm	109
5500	Armabeton	111
534	armáda	19170
3907	armádní	1732
5007	armatura	604
5242	Armén	369
4985	Arménie	626
4946	arménský	665
5302	Armstrong	309
5473	Arne	138
5508	Arnim	103
5152	Arnold	459
4522	Arnošt	1089
5476	ARO	135
4990	arogance	621
5160	arogantní	451
5474	aróma	137
5171	aromatický	440
5499	Ars	112
5272	Arsenal	339
5189	art	422
3957	Art	1679
5479	arte	132
5251	artefakt	360
4845	Arthur	766
5292	artikl	319
5465	artikulace	146
5500	artikulovaný	111
5502	artikulovat	109
5499	artista	112
5468	Arto	143
5475	Arts	136
5330	Artur	281
5500	artyčok	111
5479	arzén	132
5105	arzenál	506
5490	ař	121
5377	as	234
5091	AS	520
5403	Asad	208
5498	asambláž	113
5402	asanace	209
5423	ASEAN	188
5104	asfalt	507
5508	asfaltka	103
5124	asfaltový	487
